Rk,G,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYOFF,LEAGUE,SERIES,INDEX,NAME,G#
1,,2015-10-28,19-346,POR,HOME,NOP,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,N,NBA,,alexacl01,Cliff Alexander,
2,,2015-10-30,19-348,POR,AWAY,PHO,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,N,NBA,,alexacl01,Cliff Alexander,
3,,2015-10-31,19-349,POR,HOME,PHO,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,N,NBA,,alexacl01,Cliff Alexander,
4,,2015-11-02,19-351,POR,AWAY,MIN,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,N,NBA,,alexacl01,Cliff Alexander,
5,,2015-11-04,19-353,POR,AWAY,UTA,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,N,NBA,,alexacl01,Cliff Alexander,
6,,2015-11-05,19-354,POR,HOME,MEM,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,N,NBA,,alexacl01,Cliff Alexander,
7,,2015-11-08,19-357,POR,HOME,DET,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexacl01,Cliff Alexander,
8,,2015-11-09,19-358,POR,AWAY,DEN,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexacl01,Cliff Alexander,
9,,2015-11-11,19-360,POR,HOME,SAS,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,N,NBA,,alexacl01,Cliff Alexander,
10,,2015-11-13,19-362,POR,AWAY,MEM,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexacl01,Cliff Alexander,
11,1,2015-11-15,19-364,POR,AWAY,CHO,L (-12),0,17:24,2,4,.500,0,0,,0,0,,1,3,4,0,0,1,0,0,4,4.3,+8,N,NBA,,alexacl01,Cliff Alexander,
12,2,2015-11-16,20-000,POR,AWAY,SAS,L (-13),0,3:17,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.0,-3,N,NBA,,alexacl01,Cliff Alexander,
