ID,Player,From,To,Pos,Ht,Ht (cm),Wt,Birth Date,Colleges,HOF,URL
abdelal01,Alaa Abdelnaby,1991,1995,F-C,6-10,208.28,240.0,"June 24, 1968",Duke,N,/players/a/abdelal01.html
abdulza01,Zaid Abdul-Aziz,1969,1978,C-F,6-9,205.74,235.0,"April 7, 1946",Iowa State,N,/players/a/abdulza01.html
abdulka01,Kareem Abdul-Jabbar*,1970,1989,C,7-2,218.44,225.0,"April 16, 1947",UCLA,Y,/players/a/abdulka01.html
abdulma02,Mahmoud Abdul-Rauf,1991,2001,G,6-1,185.42,162.0,"March 9, 1969",LSU,N,/players/a/abdulma02.html
abdulta01,Tariq Abdul-Wahad,1998,2003,F,6-6,198.12,223.0,"November 3, 1974","Michigan, San Jose State",N,/players/a/abdulta01.html
abdursh01,Shareef Abdur-Rahim,1997,2008,F,6-9,205.74,225.0,"December 11, 1976",California,N,/players/a/abdursh01.html
abernto01,Tom Abernethy,1977,1981,F,6-7,200.66,220.0,"May 6, 1954",Indiana,N,/players/a/abernto01.html
ablefo01,Forest Able,1957,1957,G,6-3,190.5,180.0,"July 27, 1932",Western Kentucky,N,/players/a/ablefo01.html
abramjo01,John Abramovic,1947,1948,F,6-3,190.5,195.0,"February 9, 1919",Salem International University,N,/players/a/abramjo01.html
abrinal01,Álex Abrines,2017,2019,G-F,6-6,198.12,200.0,"August 1, 1993",,N,/players/a/abrinal01.html
ackeral01,Alex Acker,2006,2009,G,6-5,195.58,185.0,"January 21, 1983",Pepperdine,N,/players/a/ackeral01.html
ackerdo01,Don Ackerman,1954,1954,G,6-0,182.88,183.0,"September 4, 1930",Long Island University,N,/players/a/ackerdo01.html
acresma01,Mark Acres,1988,1993,F-C,6-11,210.82,220.0,"November 15, 1962",Oral Roberts,N,/players/a/acresma01.html
actonbu01,Bud Acton,1968,1968,F,6-6,198.12,210.0,"January 11, 1942",Hillsdale College,N,/players/a/actonbu01.html
acyqu01,Quincy Acy,2013,2019,F-C,6-7,200.66,240.0,"October 6, 1990",Baylor,N,/players/a/acyqu01.html
adamsal01,Alvan Adams,1976,1988,C-F,6-9,205.74,210.0,"July 19, 1954",Oklahoma,N,/players/a/adamsal01.html
adamsdo01,Don Adams,1971,1977,F,6-6,198.12,210.0,"November 27, 1947",Northwestern,N,/players/a/adamsdo01.html
adamsge01,George Adams,1973,1975,F-G,6-5,195.58,210.0,"May 15, 1949",Gardner-Webb University,N,/players/a/adamsge01.html
adamsha01,Hassan Adams,2007,2009,G,6-4,193.04,220.0,"June 20, 1984",Arizona,N,/players/a/adamsha01.html
adamsja01,Jaylen Adams,2019,2019,G,6-2,187.96,190.0,"May 4, 1996",St. Bonaventure,N,/players/a/adamsja01.html
adamsjo01,Jordan Adams,2015,2016,G,6-5,195.58,209.0,"July 8, 1994",UCLA,N,/players/a/adamsjo01.html
adamsmi01,Michael Adams,1986,1996,G,5-10,177.8,162.0,"January 19, 1963",Boston College,N,/players/a/adamsmi01.html
adamsst01,Steven Adams,2014,2020,C,6-11,210.82,265.0,"July 20, 1993",Pitt,N,/players/a/adamsst01.html
addisra01,Rafael Addison,1987,1997,F-G,6-7,200.66,215.0,"July 22, 1964",Syracuse,N,/players/a/addisra01.html
