0,3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,LEAGUE,MP,ORB,Opp,PF,PLAYOFF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7,+/-,AST%,BLK%,BPM,DRB%,DRtg,ORB%,ORtg,STL%,TOV%,TRB%,TS%,USG%,eFG%,DATE,SERIES,TEAM,HOME/AWAY,OPPONENT,G#,RESULT,GAME_SCORE,ID
,1,1.000,1,6,21-246,0,2,1990-11-10,12,.632,19,1,.500,2,1,1,15.0,NBA,25:00,1,PHO,4,N,26,1,1,7,3,DEN,@,L (-30),,37.2,0.0,-1.2,9.6,127,3.2,98,1.4,26.0,5.8,.654,32.2,.658,,,,,,,,,abdulma02
,0,,0,8,21-249,0,1,1990-11-13,9,.563,16,2,1.000,2,2,1,16.9,NBA,27:00,0,POR,1,N,20,2,1,2,1,DEN,@,L (-26),,38.4,0.0,1.7,4.6,130,0.0,116,1.5,10.6,2.0,.592,25.2,.563,,,,,,,,,abdulma02
,1,1.000,1,4,21-251,0,0,1990-11-15,6,.600,10,0,,0,3,0,10.4,NBA,15:00,0,MIN,2,N,13,3,0,0,0,DEN,,W (+13),,35.8,0.0,9.5,0.0,115,0.0,151,0.0,0.0,0.0,.650,26.4,.650,,,,,,,,,abdulma02
,1,.250,4,6,21-253,0,0,1990-11-17,9,.500,18,1,1.000,1,4,0,12.6,NBA,24:00,0,POR,4,N,20,4,0,1,0,DEN,,L (-31),,44.4,0.0,3.7,0.0,127,0.0,117,0.0,5.1,0.0,.542,27.7,.528,,,,,,,,,abdulma02
,0,,0,8,21-255,0,4,1990-11-19,7,.350,20,0,,0,5,1,8.2,NBA,33:00,0,LAL,1,N,14,5,0,1,4,DEN,,L (-17),,34.4,0.0,-5.2,12.9,121,0.0,87,0.0,4.8,5.9,.350,24.8,.350,,,,,,,,,abdulma02
,1,.333,3,5,21-257,0,1,1990-11-21,10,.500,20,2,1.000,2,6,0,20.2,NBA,25:00,0,LAL,4,N,23,6,5,0,1,DEN,@,L (-20),,31.2,0.0,13.8,6.0,111,0.0,118,8.3,0.0,2.3,.551,29.8,.525,,,,,,,,,abdulma02
,0,,0,2,21-260,0,1,1990-11-24,3,.333,9,0,,0,7,0,-0.2,NBA,15:00,0,CHI,2,N,6,7,0,2,1,DEN,,L (-6),,12.5,0.0,-20.4,7.0,136,0.0,70,0.0,18.2,3.1,.333,24.8,.333,,,,,,,,,abdulma02
,0,.000,1,1,21-263,0,1,1990-11-27,3,.333,9,2,1.000,2,8,0,3.6,NBA,9:00,1,ORL,0,N,8,8,1,2,2,DEN,,W (+11),,14.8,0.0,-5.0,8.1,100,9.2,82,4.9,16.8,8.6,.405,48.1,.333,,,,,,,,,abdulma02
,0,.000,1,3,21-265,0,1,1990-11-29,5,.313,16,0,,0,9,0,4.4,NBA,21:00,0,SAC,2,N,10,9,2,0,1,DEN,,W (+8),,20.4,0.0,-8.0,4.2,111,0.0,86,3.9,0.0,2.0,.313,25.6,.313,,,,,,,,,abdulma02
,0,.000,1,1,21-267,0,3,1990-12-01,7,.412,17,2,.667,3,10,1,4.9,NBA,27:00,0,LAC,3,N,16,10,0,2,3,DEN,,L (-16),,5.0,0.0,-10.7,11.1,116,0.0,84,0.0,9.8,4.7,.437,24.8,.412,,,,,,,,,abdulma02
,0,,0,0,21-270,1,0,1990-12-04,1,.333,3,0,,0,11,0,0.2,NBA,8:00,0,CLE,2,N,2,11,0,0,0,DEN,@,L (-4),,0.0,6.3,-9.8,0.0,111,0.0,72,0.0,0.0,0.0,.333,14.2,.333,,,,,,,,,abdulma02
,1,1.000,1,3,21-271,0,3,1990-12-05,6,.316,19,0,,0,12,0,6.1,NBA,19:00,2,BOS,1,N,13,12,2,2,5,DEN,@,L (-8),,16.9,0.0,-6.0,18.0,116,8.4,80,4.1,9.5,12.4,.342,35.9,.342,,,,,,,,,abdulma02
,1,1.000,1,0,21-273,0,0,1990-12-07,3,.429,7,2,1.000,2,13,0,3.1,NBA,10:00,0,PHI,3,N,9,13,0,1,0,DEN,@,L (-9),,0.0,0.0,-6.8,0.0,119,0.0,105,0.0,11.3,0.0,.571,29.3,.500,,,,,,,,,abdulma02
